Organisation Name,Town/City,County,Type & Rating,Route
A FARLOW ENGINEERING LTD,Coleraine,Londonderry,Worker (A rating),Skilled Worker
A.G. Parfett and Sons Limited,Stockport,Cheshire,Worker (A rating),Skilled Worker
A1 PREMIER SERVICES LIMITED,Solihull,,Worker (A rating),Skilled Worker
A1 STEPHENS TAXIS LTD,Tidworth,England,Worker (A rating),Skilled Worker
Acoustofab Ltd,London,,Worker (A rating),Skilled Worker
Adamant Composites UK Ltd,Cambridge,,Worker (A rating),Skilled Worker
AIISAR LTD,Croydon,England,Worker (A rating),Skilled Worker
Al Hijrah Trust (CIO),Birmingham,West Midlands,Temporary Worker (A rating),Religious Worker
ALHAMBRA CARE LIMITED,Birmingham,,Worker (A rating),Skilled Worker
ASHFAQ LIMITED,Luton,,Worker (A rating),Skilled Worker
Atalanta Healthcare Services Limited,London,,Worker (A rating),Skilled Worker
ATHULA DASSANA MULTI-CULTURAL BUDDHIST COMMUNITY CENTRE,Feltham,,Worker (A rating),Tier 2 Ministers of Religion
ATHULA DASSANA MULTI-CULTURAL BUDDHIST COMMUNITY CENTRE,Feltham,,Temporary Worker (A rating),Charity Worker
ATHULA DASSANA MULTI-CULTURAL BUDDHIST COMMUNITY CENTRE,Feltham,,Temporary Worker (A rating),Religious Worker
Atogarden Ltd T/A Kiji,London,,Worker (A rating),Skilled Worker
B2MWORCESTER LIMITED trading as The Gurkha Chulo,Worcester,,Worker (A rating),Skilled Worker
Bansals Care Limited,Tilbury,Essex,Worker (A rating),Skilled Worker
Based Upon Ltd,London,,Worker (A rating),Skilled Worker
Basic Premier Limited,Leicester,,Worker (A rating),Skilled Worker
BEST AUTOCENTRES LTD,Didcot,Oxfordshire,Worker (A rating),Skilled Worker
BGTS LTD,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
BGTS LTD,London,,Worker (A rating),Skilled Worker
Blackpool Trading Ltd,Blackpool,,Worker (A rating),Skilled Worker
BREW WISE LTD,Preston,,Worker (A rating),Skilled Worker
BRIT SECURITY AND FACILITIES MANAGEMENT LTD,London,,Worker (A rating),Skilled Worker
BULLS 1999 LTD T/AS STULLEN,London,,Worker (A rating),Skilled Worker
Caredo Ltd,Preston,Lancashire,Worker (A rating),Skilled Worker
CellDerma Limited,Chichester,West Sussex,Worker (A rating),Skilled Worker
