Organisation Name,Town/City,County,Type & Rating,Route
3 EM Limited,Luton,,Worker (A rating),Skilled Worker
ACCOMAR GLOBAL LTD,London,,Worker (A rating),Skilled Worker
Adia Thermal Ltd.,London,Westminster,Worker (A rating),Skilled Worker
AJ Glam Studio Ltd,Smallbridge,Greater Manchester,Worker (A rating),Skilled Worker
Alexander Wallace Healthcare LTD,Margate,,Worker (A rating),Skilled Worker
Andora Group LTD,London,,Worker (A rating),Skilled Worker
Artemis Energy Limited,London,,Worker (A rating),Skilled Worker
Big Red House Services Limited,London,,Worker (A rating),Skilled Worker
Brighter Pathways NW LTD,Ellesmere Port,Cheshire,Worker (A rating),Skilled Worker
BRITISH BOARD OF AGREMENT,Watford,Hertfordshire,Worker (A rating),Skilled Worker
Brooms Professional Services Limited,Benfleet,Essex,Worker (A rating),Skilled Worker
Building Performance Prediction Ltd T/A BPP Energy,Belfast,,Worker (A rating),Skilled Worker
CARDIFF RUGBY CLUB LIMITED,Cardiff,,Worker (A rating),International Sportsperson
CARDIFF RUGBY CLUB LIMITED,Cardiff,,Worker (A rating),Skilled Worker
Cardo Group Limited,Cardiff,,Worker (A rating),Skilled Worker
Celestial Church Of Christ Victory Land Parish,Huddersfield,,Worker (A rating),Tier 2 Ministers of Religion
Celestial Church Of Christ Victory Land Parish,Huddersfield,,Temporary Worker (A rating),Charity Worker
Croeso Care Ltd,Newcastle Emlyn,Ceredigion,Worker (A rating),Skilled Worker
DAMHURST LTD,Tunbridge Wells,Kent,Worker (A rating),Skilled Worker
DAS STORES LIMITED,Grays,,Worker (A rating),Skilled Worker
DEFOR Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
DONCASTER RACING LIMITED,York,,Worker (A rating),Skilled Worker
EAK CONVENIENCE STORE LTD,Sheffield,,Worker (A rating),Skilled Worker
Eranders Limited,Aberdeen,,Worker (A rating),Skilled Worker
ERKEN CONSULTING LIMITED,London,,Worker (A rating),Skilled Worker
Essex & Herts Air Ambulance,Colchester,Essex,Worker (A rating),Skilled Worker
EURO STARS WIDNES LTD,Widnes,,Worker (A rating),Skilled Worker
FISHMONGERS OF SKEGNESS LTD,Skegness,,Worker (A rating),Skilled Worker
G.A. Design International Limited,London,,Worker (A rating),Skilled Worker
Gallie Craig,Stranraer,Wigtownshire,Worker (A rating),Skilled Worker
Generali Real Estate S.P.A,London,,Worker (A rating),Skilled Worker
Geoenergy Design Ltd,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Hemani Ventures Ltd,Theale,Reading,Worker (A rating),Skilled Worker
Hook Tangaza LTD,London,,Worker (A rating),Skilled Worker
I-AM Associates Limited,London,,Worker (A rating),Skilled Worker
INDIASIDE LTD T/A Cafe India Burnside,Glasgow,,Worker (A rating),Skilled Worker
ITOLOGY CREATIONS LTD,Edinburgh,,Worker (A rating),Skilled Worker
Jabil Circuit Limited,Livingston,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Jabil Circuit Limited,Livingston,,Worker (A rating),Skilled Worker
JSANTH&SONS LTD,Truro,,Worker (A rating),Skilled Worker
KHERI TRANSPORTS LTD,West Drayton,,Worker (A rating),Skilled Worker
LILLYFIELDS CARE LIMITED,Petersfield,Hampshire,Worker (A rating),Skilled Worker
Lux Dent Agency Limited,Wimbledon,,Worker (A rating),Skilled Worker
MANCHESTER IMPORT AND EXPORT TRADING LTD,Manchester,,Worker (A rating),Skilled Worker
MAS BAZAR LUTON LTD,Luton,,Worker (A rating),Skilled Worker
Maxon Computer Limited,Cranfield,Bedfordshire,Worker (A rating),Skilled Worker
Mcr Elite Running Ltd,Wigan,Greater Manchester,Worker (A rating),International Sportsperson
Megakare Ltd,Ipswich,,Worker (A rating),Skilled Worker
Mercy & Joy Specialist Dentistry Services Limited,Dundee,,Worker (A rating),Skilled Worker
MOXY LOGISTICS LTD,Ruislip,England,Worker (A rating),Skilled Worker
Mr Jeyabalan Arumugam T/A Meadow Vale Convenience Store,Belper,Derbyshire,Worker (A rating),Skilled Worker
Mynas Care LTD,Nelson,Lancashire,Worker (A rating),Skilled Worker
NEWHAM FAMILY DENTAL CARE LIMITED,Essex,,Worker (A rating),Skilled Worker
Next Steps Mental Health Limited,Sale,Cheshire,Worker (A rating),Skilled Worker
Nottingham Forest Womens Football Club Limited,Nottingham,,Worker (A rating),International Sportsperson
Out of Hours West Lancshire CIC,Skelmersdale,,Worker (A rating),Skilled Worker
Papillon Blue Ltd,London,,Worker (A rating),Skilled Worker
Parc Properties WW Ltd,Loughborough,,Worker (A rating),Skilled Worker
Pixel Panda Creative Ltd,High Wycombe,,Worker (A rating),Skilled Worker
Pockit Limited,Loneon,,Worker (A rating),Skilled Worker
ProMX UK Limited,Reading,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
ProMX UK Limited,Reading,,Worker (A rating),Skilled Worker
Pulse Bodyworks Limited,London,,Worker (A rating),Skilled Worker
Quality Professional Services Ltd,Rugby,Warwickshire,Worker (A rating),Skilled Worker
RAPID RESPONSE PERSONNEL LTD,Westonsupermare,England,Worker (A rating),Skilled Worker
Reddy's 2 Ltd,Cambridge,,Worker (A rating),Skilled Worker
Resultance UK Limited,London,,Worker (A rating),Skilled Worker
Rosenxt UK Ltd,Aberdeen,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
