Organisation Name,Town/City,County,Type & Rating,Route
Advokatfirmaet Kromann Reumert,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
AGROEXCEL INTERNATIONAL LTD,Long Eaton,Nottingham,Worker (A rating),Skilled Worker
All Saints Benhilton Primary School,Sutton,Choose County,Worker (A rating),Skilled Worker
ARJUNLI LIMITED,Swindon,,Worker (A rating),Skilled Worker
Aura Energy UK Limited,London,,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
AZ BEAUTY & HAIR LTD,Croydon,,Worker (A rating),Skilled Worker
Birch Care Ltd,Stockport,,Worker (A rating),Skilled Worker
Capula Limited,Stone,Staffordshire,Worker (A rating),Skilled Worker
CBC UK Limited,London,,Worker (A rating),Skilled Worker
Centrespace Design LLP,Henley On Thames,,Worker (A rating),Skilled Worker
Clifton Medical Practice,Nottingham,Nottinghamshire,Worker (A rating),Skilled Worker
Constantia FFP Ltd,Northampton,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Constantia FFP Ltd,Northampton,,Worker (A rating),Skilled Worker
Corpus Christi Catholic Academy Trust,Manchester,Greater Manchester,Worker (A rating),Skilled Worker
Crystal Hall,Preston,Lancashire,Worker (A rating),Skilled Worker
CUMULOCITY (UK) LTD,Histon,,Worker (A rating),Skilled Worker
DIGI BROADCAST COMPANY LIMITED,Chessington London,,Worker (A rating),Skilled Worker
ENVA PLASTICS LIMITED,Bilsthorpe,Nottinghamshire,Worker (A rating),Skilled Worker
FARMHOUSE WEMBLEY LTD,Wembley,,Worker (A rating),Skilled Worker
Flawless UK Vape Distribution Ltd,Leicester,Leicestershire,Worker (A rating),Skilled Worker
FOURTH OF MARCH LIMITED/Trading Name RACIL,London,,Worker (A rating),Skilled Worker
FULL VOLUME PR LIMITED,Manchester,,Worker (A rating),Skilled Worker
Gridlines Group Ltd,Manchester,,Worker (A rating),Skilled Worker
Guilford Hotel,London,,Worker (A rating),Skilled Worker
Hasan Cetinkaya t/a Adda Restaurant,Edinburgh,,Worker (A rating),Skilled Worker
Hollway Advisory Services UK Ltd,Borehamwood,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Hollway Advisory Services UK Ltd,Borehamwood,,Worker (A rating),Skilled Worker
HOOFPRINTS TECHNOLOGIES LTD T/A CHETTINAD MESS,Stirling,,Worker (A rating),Skilled Worker
HOSTBRAY LIMITED,Radlett,,Worker (A rating),Skilled Worker
Ignota Labs Limited,Cambridge,,Worker (A rating),Skilled Worker
IMECH ENGINEERING LIMITED,London,,Worker (A rating),Skilled Worker
Innovate Cambridge Ltd,Cambridge,,Worker (A rating),Skilled Worker
Inspire Neurocare Limited,Worcester,,Worker (A rating),Skilled Worker
IWK Watford Ltd T/A Heavenly Desserts,Watford,Hertfordshire,Worker (A rating),Skilled Worker
JT&Z  Construction Company Limited,London,,Worker (A rating),Skilled Worker
Ken Nguyen Trading as Whitchurch Nails,Cardiff,,Worker (A rating),Skilled Worker
Knightsbridge Green,London,,Worker (A rating),Skilled Worker
KOGWENO & BUBI CONSULTANTS LTD,London,,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Lennox Gardens Partners Limited,London,,Worker (A rating),Skilled Worker
LINKSTAR TECH LTD,Cardiff,Wales,Worker (A rating),Skilled Worker
LJP MANAGEMENT LTD,Worthing,,Temporary Worker (A rating),Creative Worker
LQT Technologies Limited,Croydon,,Worker (A rating),Skilled Worker
M A Chhokar Ltd,Sutton Coldfield,,Worker (A rating),Skilled Worker
M&N ACCOUNTANTS LTD,London,,Worker (A rating),Skilled Worker
Mancroft Healthcare Limited,Wolverhampton,,Worker (A rating),Skilled Worker
Marine Procurement Ltd,North Berwick,,Worker (A rating),Skilled Worker
Mmanagement Services Ltd t/a Blooming Blossom,High Wycombe,,Worker (A rating),Skilled Worker
MOHTHUS LTD,Windsor,,Worker (A rating),Skilled Worker
My Digital Hero Consulting LTD,Harrogate,,Worker (A rating),Skilled Worker
NAB Services (UK) Ltd,Peterborough,,Worker (A rating),Skilled Worker
Nesika Retails Limited,Northumberland,,Worker (A rating),Skilled Worker
NWAN Tech Ltd,Havant,England,Worker (A rating),Skilled Worker
Oakfield Psychological Services Limited,Altrincham,,Worker (A rating),Skilled Worker
Octus Intelligence Limited,London,,Worker (A rating),Skilled Worker
Octus Intelligence Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Octus Intelligence Limited,London,,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
OEM - Automatic Limited,Whetstone,Leicester,Worker (A rating),Skilled Worker
One Aldwych Hotel,London,,Worker (A rating),Skilled Worker
Orlen LNG Trading Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Pasha Traders Ltd,Middlesbrough,,Worker (A rating),Skilled Worker
PB11 TRANSPORT LTD,Reading,,Worker (A rating),Skilled Worker
Ranks Enterprises Limited,Middlesex,,Worker (A rating),Skilled Worker
ROBINVALLEY LIMITED,Liverpool,,Worker (A rating),Skilled Worker
S & B STORES LTD,Reading,,Worker (A rating),Skilled Worker
Scene Cuisine ltd,Blaenau Ffestiniog,,Worker (A rating),Skilled Worker
SHRI BALAJI DAMODAR RETAIL LTD,Coventry,West Midlands,Worker (A rating),Skilled Worker
Smile Care York Limited,Slough,,Worker (A rating),Skilled Worker
South Derbyshire District Council,Swadlincote,Choose County,Worker (A rating),Skilled Worker
SOUTHVILLE STORES,Middlesex,,Worker (A rating),Skilled Worker
St Luke's School,St Albans,,Worker (A rating),Skilled Worker
T N Beeston & Son,Market Drayton,Shropshire,Worker (A rating),Skilled Worker
THE DEN FIGHT CENTRE LIMITED,Spalding,Lincolnshire,Worker (A rating),Skilled Worker
The Egg & Veg Food Plaza Restaurant Ltd,London,,Worker (A rating),Skilled Worker
THE PAROCHIAL CHURCH COUNCIL OF THE ECCLESIASTICAL PARISH OF ST JOHN THE BAPTIST LEYTONSTONE,London,,Worker (A rating),Tier 2 Ministers of Religion
THE STILL WATERS CHURCH,Wakefield,WEST YORKSHIRE,Temporary Worker (A rating),Religious Worker
TRADITIONAL THREADS LIMITED,Bolton,,Worker (A rating),Skilled Worker
United Foods Chain Ltd,Dunstable,,Worker (B rating),Skilled Worker
Vida Bank Limited,London,,Worker (A rating),Skilled Worker
WORKSOLV LTD,Manchester,,Worker (A rating),Skilled Worker
WSS Energy Consulting Limited,Woking,Surrey,Worker (A rating),Skilled Worker
