Organisation Name,Town/City,County,Type & Rating,Route
Afro Wight Ltd,Newport,Isle of Wight,Worker (A rating),Skilled Worker
AgreementsDesk Limited,London,,Worker (A rating),Skilled Worker
AJMS Consultants,Leeds,,Worker (A rating),Skilled Worker
ARSH ENTERPRISES LTD,Manchester,,Worker (A rating),Skilled Worker
ASM EXPRESS LTD,London,,Worker (A rating),Skilled Worker
Baldock Mini Market Ltd T/As Costcutter,Baldock,,Worker (A rating),Skilled Worker
Blue Moon Grocery Store Ltd,London,,Worker (A rating),Skilled Worker
BS CARE PROVIDERS  LTD,Arnold,Nottingham,Worker (A rating),Skilled Worker
C.P.G. (WALES) LIMITED,Swansea,Wales,Worker (A rating),Skilled Worker
"CALDWELL IP, LTD",London,,Worker (A rating),Skilled Worker
Camdor Global Advisors Ltd,London,,Worker (A rating),Skilled Worker
Care at Home Services (South East) Ltd.,Tunbridge Wells,,Worker (A rating),Skilled Worker
Chaiibox Birmingham Ltd,Birmingham,Birmingham,Worker (A rating),Skilled Worker
CloudVPlus Holdings Ltd,Portsmouth,Hampshire,Worker (A rating),Skilled Worker
COVBUN LTD,Coventry,,Worker (A rating),Skilled Worker
CYBERWAVE IT LIMITED,Radlett,,Worker (A rating),Skilled Worker
DerbySoft (UK) Limited,London,,Worker (A rating),Skilled Worker
Early Years Organisation,Belfast,Antrim,Temporary Worker (A rating),Charity Worker
Elite Community Ultrasound Ltd,Ashford,Kent,Worker (A rating),Skilled Worker
EMINENCE INC LIMITED,London,,Worker (A rating),Skilled Worker
EZ RAMYEON LTD,Nottingham,,Worker (A rating),Skilled Worker
Fareport Training Organisation Limited,Fareham,,Worker (A rating),Skilled Worker
Forty Eight Point One Ltd,London,England,Worker (A rating),Skilled Worker
FULL CIRCLE LIVING LTD,Maidstone,,Worker (A rating),Skilled Worker
Galvinus Ltd,Rugby,Warwickshire,Worker (A rating),Skilled Worker
Haberdashers' Elstree Schools,Elstree,Hertfordshire,Worker (A rating),Skilled Worker
Harborne Academy,Birmingham,United Kingdom,Worker (A rating),Skilled Worker
Haylo M&E Limited,Harrow,Middlesex,Worker (A rating),Skilled Worker
IBEX PLUS PARTNERS LIMITED,Downpatrick,,Worker (A rating),Skilled Worker
ILOFT CONVERSIONS LTD,London,,Worker (A rating),Skilled Worker
IMPERIAL HOMEWARE LONDON LIMITED,Birmingham,West Midlands,Worker (A rating),Skilled Worker
Indian Pantry (Manchester) Ltd,Manchester,,Worker (A rating),Skilled Worker
JEVRA PVT LIMITED,Onich,"Fort William , Scotland",Worker (A rating),Skilled Worker
KALLA HOLDINGS LTD,London,,Worker (A rating),Skilled Worker
KI POWERFUEL PVT LIMITED,Carmarthen,,Worker (A rating),Skilled Worker
Le paragon,Leighonsea,uk,Worker (A rating),Skilled Worker
LONDON ACADEMY FOR APPLIED TECHNOLOGY LTD,London,,Worker (A rating),Skilled Worker
LOWER ASH CONVENIENCE STORE LTD,Stokeontrent,,Worker (A rating),Skilled Worker
MAGIC SOFTWARE SERVICES LTD,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
MAGIC SOFTWARE SERVICES LTD,London,,Worker (A rating),Skilled Worker
"MEDICS-UK LIMITED, t/a Premier Private GP",Bagshot,,Worker (A rating),Skilled Worker
Merx Solutions Ltd,London,,Worker (A rating),Skilled Worker
Montrose Food & Wine Limited,Doncaster,,Worker (A rating),Skilled Worker
Mr Sivagnanam Sivaruban T/A Saiyuri Traders,Grays,Essex,Worker (A rating),Skilled Worker
MULTIQO SOLUTION LTD,London,,Worker (A rating),Skilled Worker
Priory House Home Care Ltd,Prestatyn,Denbighshire,Worker (A rating),Skilled Worker
QE Development Holdco Ltd,London,London,Worker (A rating),Skilled Worker
RED MIRACLE T/A Dominos,Shrewsbury,,Worker (A rating),Skilled Worker
RIVERSIDE STORES LIMITED,London,England,Worker (A rating),Skilled Worker
ROMANA HAULAGE LTD,Hayes,,Worker (A rating),Skilled Worker
Satair UK limited,Feltham,Middlesex,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Satair UK limited,Feltham,Middlesex,Worker (A rating),Skilled Worker
Sloane and Cadogan Land Management Limited,London,,Worker (A rating),Skilled Worker
Softline Solutions Ltd.,London,Greater London,Worker (A rating),Skilled Worker
Southshore Global Management Ltd,London,,Worker (A rating),Skilled Worker
SP WARREN STREET LTD,London,,Worker (A rating),Skilled Worker
Strange Thoughts Group Ltd.,Bristol,,Worker (A rating),Skilled Worker
Tarbert Pharmacy,Tarbert,,Worker (A rating),Skilled Worker
Team Driving Ltd,London,,Worker (A rating),Skilled Worker
The Beeches UK Limited,Peterborough,Cambridgeshire,Worker (A rating),Skilled Worker
The Greenacres day nursery school LTD,Hampton Hill,,Worker (A rating),Skilled Worker
The Wyld Herb Company Ltd,London,London,Worker (A rating),Skilled Worker
Tunnel Travel Limited,Huddersfield,,Worker (A rating),Skilled Worker
VINTNERS GOURMET LTD T/A VINTERS PARK TANDOORI,Maidstone,Kent,Worker (A rating),Skilled Worker
WOODYS 18 LIMITED T/A Woodstock Stores,Kilmarnock,,Worker (A rating),Skilled Worker
YOUR PERFECT MATE LTD,Blackburn,,Worker (A rating),Skilled Worker
ZA CONSTRUCTION & FLOOR FITTING LTD,Hayes,,Worker (A rating),Skilled Worker
