Organisation Name,Town/City,County,Type & Rating,Route
Ace Aquatec Ltd,Dundee,,Worker (A rating),Skilled Worker
African Mamaput Limited,Chester,,Worker (A rating),Skilled Worker
Bellerive FCJ Catholic College,Liverpool,Merseyside,Worker (A rating),Skilled Worker
Blanchards Inheritance Ltd,Ramsgate,,Worker (A rating),Skilled Worker
Blue Precision Technologies Ltd,Maidstone,Kent,Worker (A rating),Skilled Worker
Bolt Insight Limited,London,,Worker (A rating),Skilled Worker
Brian Armistead Ltd t/a Sinkfall Recycling,Barrow In Furness,Cumbria,Worker (A rating),Skilled Worker
BRIGHTON DUCT WIZARD LIMITED,Hove,,Worker (A rating),Skilled Worker
Build Generation Ltd.,London,,Worker (A rating),Skilled Worker
CCS Homecare Services,Slough,,Worker (A rating),Skilled Worker
Chesterfield Insurance Brokers Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Chesterfield Insurance Brokers Limited,London,,Worker (A rating),Skilled Worker
CLARENDON AUTOMOTIVE PERFORMANCE LTD,Birmingham,,Worker (A rating),Skilled Worker
Cornspring Limited,London,,Worker (A rating),Skilled Worker
DD LDN BRIDGE LTD,Surrey,,Worker (A rating),Skilled Worker
Derby Road Health Centre,Nottingham,,Worker (A rating),Skilled Worker
DERW GLASS LTD,Boncath,Pembrokeshire,Worker (A rating),Skilled Worker
DS ELECTRICAL EXPERTS LIMITED,Edmonton,,Worker (A rating),Skilled Worker
Dyneema Limited,Chatham,Kent,Worker (A rating),Skilled Worker
EDINBURGH PHONE & VAPE LTD,Edinburgh,,Worker (A rating),Skilled Worker
ELP Facility Management Ltd,Nottigham,,Worker (A rating),Skilled Worker
Empower Learning Academy Trust,Upminster,Essex,Worker (A rating),Skilled Worker
Entourage BD Ltd,London,,Worker (A rating),Skilled Worker
FENNEL FINANCIAL SERVICES LTD,Rochester,Kent,Worker (A rating),Skilled Worker
First Water Ramsbury Limited,Malborough,Ramsbury,Worker (A rating),Skilled Worker
Fortune UK Accountants Ltd,London,Greater London,Worker (A rating),Skilled Worker
Fourstones Paper Mill Co Ltd,Hexham,Northumberland,Worker (A rating),Skilled Worker
GAHL Services Limited,London,,Worker (A rating),Skilled Worker
Gap Retail Limited,Rawmarsh,,Worker (A rating),Skilled Worker
Gensier Limited,Brighton,,Worker (A rating),Skilled Worker
GOQII UK Limited,Hove,,Worker (A rating),Skilled Worker
Gravitee Topco Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Gravitee Topco Limited,London,,Worker (A rating),Skilled Worker
