Organisation Name,Town/City,County,Type & Rating,Route
1ST SHIELD SECURITY SERVICE LIMITED,London,London,Worker (A rating),Skilled Worker
A Kola Construction Ltd,London,Essex,Worker (A rating),Skilled Worker
AARGON ENTERPRISES LTD,Altrincham,,Worker (A rating),Skilled Worker
Aduna Ltd / TA Aduna Superfoods,London,,Worker (A rating),Skilled Worker
ALEXISKATTYS KITCHEN LTD,Salford Manchester,,Worker (A rating),Skilled Worker
Archbishop Temple Church of England High School,Preston,Lancashire,Worker (A rating),Skilled Worker
Arura Group Ltd,Nottingham,,Worker (A rating),Skilled Worker
ASHLEY COURT CARE LIMITED,Penn,,Worker (A rating),Skilled Worker
Beltodam Ltd,Bowdon,Cheshire,Worker (A rating),Skilled Worker
BOWLZ LTD,Slough,,Worker (A rating),Skilled Worker
Bradbury Street Limited,London,,Worker (A rating),Skilled Worker
BusinessOptix Limited,Guildford,Surrey,Worker (A rating),Skilled Worker
Cobev Limited,Manchester,,Worker (A rating),Skilled Worker
COTTRELL PARK LTD,Cardiff,,Worker (A rating),Skilled Worker
DIRECT MART LIMITED,Leicester,,Worker (A rating),Skilled Worker
Fabulous Partners Limited,Southampton,,Worker (A rating),Skilled Worker
Flying Fat Sheep Design Ltd,Canterbury,England,Worker (A rating),Skilled Worker
"Fruity Fresh (Western) Limited, T/A Fruity Fresh Northwood",Northwood,,Worker (A rating),Skilled Worker
GEN IMPACT LTD,Banstead,,Worker (A rating),Skilled Worker
ICON Clinical (UK) Limited,Reading,Berkshire,Worker (A rating),Skilled Worker
Invent Partners Limited,York,North Yorkshire,Worker (A rating),Skilled Worker
INVICTIQ LIMITED,Watford,HERTFORDSHIRE,Worker (A rating),Skilled Worker
JSB NORTHWEST LTD,Blackburn,,Worker (A rating),Skilled Worker
KN FOODS (UK) LIMITED,Stockport,,Worker (A rating),Skilled Worker
Konzepthaus Consulting Ltd,London,,Worker (A rating),Skilled Worker
Mary Riposta Ltd,London,,Worker (A rating),Skilled Worker
MASB Group Limited,Manchester,,Worker (A rating),Skilled Worker
Newland African Shop Limited,Hull,,Worker (A rating),Skilled Worker
NKS LEGAL LTD,Coventry,,Worker (A rating),Skilled Worker
NOVACLOUD INNOVATIVE LIMITED,Birmingham,,Worker (A rating),Skilled Worker
Numi Scan South East London,London,,Worker (A rating),Skilled Worker
OBS Facilities LTD,Heston,,Worker (A rating),Skilled Worker
One Luxury Group Advisors LLP,London,,Worker (A rating),Skilled Worker
Payroll Sorted Ltd,Rayleigh,Essex,Worker (A rating),Skilled Worker
"Preston Muslim Society, Masjid E Salaam",Preston,,Worker (A rating),Tier 2 Ministers of Religion
PSA Home Care Ltd T/A PSA Home Care,Birmingham,,Worker (A rating),Skilled Worker
Revent Trading Limited T/A Domino's Pizza,Hornchurch,,Worker (A rating),Skilled Worker
Reversec UK Limited,Manchester,,Worker (A rating),Skilled Worker
SHEFFORD PAINT WORKS LIMITED,Shefford,,Worker (A rating),Skilled Worker
Smart Joinery Ltd,London,,Worker (A rating),Skilled Worker
SRS CLOTHING LTD,Aberdeen,,Worker (A rating),Skilled Worker
TEXACO SERVICE STATION,Newnham,,Worker (A rating),Skilled Worker
THE INDIAN FEAST LTD,Leeds,,Worker (A rating),Skilled Worker
The Little Studio LTD (trading as Image Print Center),London,,Worker (A rating),Skilled Worker
The Red House Nursing Home Ltd T/A Red House Nursing Home,Kent,,Worker (A rating),Skilled Worker
TOOL SHOP (LONDON) LTD,London,,Worker (A rating),Skilled Worker
Trilokya Services Ltd,Knowsley,,Worker (A rating),Skilled Worker
Trinity Express Ltd,Staffordshire,,Worker (A rating),Skilled Worker
Uber Interiors Limited,Cheshire,,Worker (A rating),Skilled Worker
UK EVENTS LTD,Hayes,,Worker (A rating),Skilled Worker
UK EVENTS LTD,Hayes,,Temporary Worker (A rating),Creative Worker
Valterra Platinum Marketing Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Valterra Platinum Marketing Limited,London,,Worker (A rating),Skilled Worker
VARIOLINE3 UK LIMITED,London,,Worker (A rating),Skilled Worker
Vectura Limited,Chippenham,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Vectura Limited,Chippenham,,Worker (A rating),Skilled Worker
World Travel Protection Limited,Uxbridge,England,Worker (A rating),Skilled Worker
