Organisation Name,Town/City,County,Type & Rating,Route
1ST TRANSPORT INNOVATION (READING) LTD,Reading,,Worker (A rating),Skilled Worker
Aimsecurity UK Ltd,London,,Worker (A rating),Skilled Worker
Axiom Technologies Pty Ltd,Crawley,West Sussex,Worker (A rating),Skilled Worker
B&S Group Limited,Chester,Cheshire,Worker (A rating),Skilled Worker
BD TAX SOLUTIONS LTD,Loughborough,,Worker (A rating),Skilled Worker
BEST GROUP OF COMPANIES LTD,Barking,,Worker (A rating),Skilled Worker
Blue Leone LTD,Cambridge,,Worker (A rating),Skilled Worker
BOOK A BASE LTD,Liverpool,Merseyside,Worker (A rating),Skilled Worker
Briink Intelligence UK Ltd,London,,Worker (A rating),Skilled Worker
BW & Co (UK) Limited,London,,Worker (A rating),Skilled Worker
Centre for Good Relations Community Interest Company,Warrington,Cheshire,Worker (A rating),Skilled Worker
COMFY HOME PROPERTIES LTD,Leicester,,Worker (A rating),Skilled Worker
Dhesi Karahi Limited,High Wycombe,,Worker (A rating),Skilled Worker
DIY WHOLESALE LTD,Manchester England,,Worker (A rating),Skilled Worker
Eggfree Cake Box Harlow Ltd,Harlow,Essex,Worker (A rating),Skilled Worker
FIVE AI Limited,Cambridge,,Worker (A rating),Skilled Worker
Fleetwood Wanderers Limited,Thorntoncleveleys,,Worker (A rating),International Sportsperson
Fleetwood Wanderers Limited,Thorntoncleveleys,,Worker (A rating),Skilled Worker
FOCUS BEAUTY SALON LIMITED,Bromley,,Worker (A rating),Skilled Worker
Genesis Living LTD,Leamington Spa,,Worker (A rating),Skilled Worker
German YMCA,London,,Temporary Worker (A rating),Charity Worker
GIOS Technology Limited,Harrow,,Worker (A rating),Skilled Worker
Granite Oak Advisors UK Ltd,London,,Worker (A rating),Skilled Worker
Green Technologies Limited t/a AA Labels,Peterborough,,Worker (A rating),Skilled Worker
Gulf Air B.S.C.(c),Brentford,,Worker (A rating),Skilled Worker
Hampshire Cricket Company Limited,Southampton,,Worker (A rating),International Sportsperson
Hampshire Cricket Company Limited,Southampton,,Worker (A rating),Skilled Worker
HKV LIMITED,Lowestoft,Suffolk,Worker (A rating),Skilled Worker
HNFC Investment Group Ltd,London,,Worker (A rating),Skilled Worker
Hoffman Connections Ltd,Hampshire,,Worker (A rating),Skilled Worker
Housing LIN Enterprises ltd,Stroud,,Worker (A rating),Skilled Worker
Hybrid Mail Solutions,Belfast,Down,Worker (A rating),Skilled Worker
Jays London Limited,London,,Worker (A rating),Skilled Worker
K2 ENGINEERING & ENERGY LTD,Morden,,Worker (A rating),Skilled Worker
KAI Computer Services Ltd,London,,Worker (A rating),Skilled Worker
KAPPA PLANNING LTD,London,,Worker (A rating),Skilled Worker
Kerala Curry Limited T/A Grand Kerala,Bristol,,Worker (A rating),Skilled Worker
Kew Bridge Engines Trust & Water Supply Museum,Brentford,,Worker (A rating),Skilled Worker
Kitagawa Europe Limited,Salisbury,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Kitagawa Europe Limited,Salisbury,,Worker (A rating),Skilled Worker
KULALAC BABY FOODS INDUSTRY AND TRADE UK LTD,London,,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
La Lanterna Glasgow Ltd,Glasgow,,Worker (A rating),Skilled Worker
LDS WANDSWORTH LTD,London,,Worker (A rating),Skilled Worker
Legars Ltd,Kelso,Scottish Borders,Worker (A rating),Skilled Worker
Liverpool Seafarers Centre,Liverpool,,Worker (A rating),Skilled Worker
M21 DETAILING LIMITED,Manchester,,Worker (A rating),Skilled Worker
Mayflower Restaurant,Devizes,Wiltshire,Worker (A rating),Skilled Worker
MEAT & FOOD LTD,Ashtonunderlyne,,Worker (A rating),Skilled Worker
MONTROSE RETAIL LTD,Prestwick,,Worker (A rating),Skilled Worker
Morrells Woodfinishes Limited,Stockport,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Morrells Woodfinishes Limited,Stockport,,Worker (A rating),Skilled Worker
Mouna's Kitchen Ltd,London,,Worker (A rating),Skilled Worker
MOUNTBERG GROUP LTD,Greater Manchester,,Worker (A rating),Skilled Worker
New City Refrigeration,Hanslope,Milton Keynes,Worker (A rating),Skilled Worker
Open Technology Services UK Limited,London,,Worker (A rating),Skilled Worker
PATH TO LEADERS LTD,London,,Worker (A rating),Skilled Worker
Phase Electrical Distributors Ltd,Eastbourne,East Sussex,Worker (A rating),Skilled Worker
Purple Delights Limited,Birkenhead,,Worker (A rating),Skilled Worker
REALWAY LTD t/A DHE CHAYAKKADA,London,,Worker (A rating),Skilled Worker
Riverside Care Home Limited,Burton On Trent,,Worker (A rating),Skilled Worker
ROLLINGFLOW LTD,Stretford,England,Worker (A rating),Skilled Worker
Rowfer Limited,London,,Worker (A rating),Skilled Worker
Science Based Targets Initiative,London,,Worker (A rating),Skilled Worker
SEHGAL AND GRANDSONS PRIVATE LIMITED,Hounslow,,Worker (A rating),Skilled Worker
SilverDoor Limited,London,,Worker (A rating),Skilled Worker
Soaring Heights Care Ltd,Tottenham,London,Worker (A rating),Skilled Worker
STACKSTUDIO DIGITAL LTD,London,,Worker (A rating),Skilled Worker
Steakbox Limited,London,,Worker (A rating),Skilled Worker
Stokely Healthcare Ltd,Taunton,Somerset,Worker (A rating),Skilled Worker
Sync Taxis Limited,Newport,,Worker (A rating),Skilled Worker
T GEN Limited,Manchester,,Worker (A rating),Skilled Worker
T L ROSE SUPERMARKET LTD,Kent,,Worker (A rating),Skilled Worker
Tapa Tapa Ltd,London,LONDON,Worker (A rating),Skilled Worker
THE ANCOATS VAPE LOUNGE LTD,Manchester,,Worker (A rating),Skilled Worker
The Boxoffice Company (Glasgow) Limited,Glasgow,,Worker (A rating),Skilled Worker
The Eggfree Cake Box (Plumstead) Limited,Plumstead,,Worker (A rating),Skilled Worker
TOP VIEW LONDON LIMITED,London,,Worker (A rating),Skilled Worker
TWG CADILLAC FORMULA 1 TEAM LIMITED,Silverstone,Northamptonshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
TWG CADILLAC FORMULA 1 TEAM LIMITED,Silverstone,Northamptonshire,Worker (A rating),Skilled Worker
V. & A. Automotive Limited,Ansty,Haywards Heath,Worker (A rating),Skilled Worker
Z RENTAL LIMITED,London,,Worker (A rating),Skilled Worker
Zhestkov.Studio Limited,London,,Worker (A rating),Skilled Worker
