Organisation Name,Town/City,County,Type & Rating,Route
Academia Limited,Hemel Hempstead,Hertfordshire,Worker (A rating),Skilled Worker
Acciona Agua UK Limited,London,Finsbury Park,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Acciona Agua UK Limited,London,Finsbury Park,Worker (A rating),Skilled Worker
ACES Academies Trust,Huntingdon,,Worker (A rating),Skilled Worker
AIDEN BARBER LTD,Waterlooville,,Worker (A rating),Skilled Worker
Anta Senses Limited,London,,Worker (A rating),Skilled Worker
Aspires H & P Ltd T/A Lucky's Off Licence,London,,Worker (A rating),Skilled Worker
Beaumont Elms Practice,Oxford,Oxfordshire,Worker (A rating),Skilled Worker
Castle Partnership,Norwich,Norfolk,Worker (A rating),Skilled Worker
Central Health London LLP,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Central Health London LLP,London,,Worker (A rating),Skilled Worker
CITY LANGOUSTE LIMITED T/A TRATTORIA VERDI,London,,Worker (A rating),Skilled Worker
CLYDE TRADE LIMITED,Glasgow,,Worker (A rating),Skilled Worker
CRAFTY APES UK LIMITED,London,,Worker (A rating),Skilled Worker
CRICKLADE STORES,Swindon,WILTSHIRE,Worker (A rating),Skilled Worker
Damnably,London,,Temporary Worker (A rating),Creative Worker
Dixy Chicken Walsall Ltd,Walsall,,Worker (A rating),Skilled Worker
DU Clean Limited,Durham,,Worker (A rating),Skilled Worker
EDOZO LIMITED,London,,Worker (A rating),Skilled Worker
Education Training Collective,Stockton On Tees,,Worker (A rating),Skilled Worker
Essar Oil (UK) Ltd t/a EET Fuels,Ellesmere Port,Cheshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Essar Oil (UK) Ltd t/a EET Fuels,Ellesmere Port,Cheshire,Worker (A rating),Skilled Worker
Essar Oil (UK) Ltd t/a EET Fuels,Ellesmere Port,Cheshire,Temporary Worker (A rating),Global Business Mobility: Graduate Trainee
Fin (London) Limited,London,,Worker (A rating),Skilled Worker
FOOTBALL CLASS ACADEMY LTD,Cardiff,,Worker (A rating),Skilled Worker
FORTIS SECURITY SERVICES LTD,Luton,,Worker (A rating),Skilled Worker
Gauri Shanker Limited T/a R B Taylors News,Bristol,,Worker (A rating),Skilled Worker
GF Engineering Group UK Ltd,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
GF Engineering Group UK Ltd,London,,Worker (A rating),Skilled Worker
Golders Green Pharmacy Limited,Eastbourne,,Worker (A rating),Skilled Worker
Han Tong International Limited,London,,Worker (A rating),Skilled Worker
Happy Dental Laboratory Limited,Portsmouth,Hampshire,Worker (A rating),Skilled Worker
Heathrow Operating Company Ltd,West Drayton,,Worker (A rating),Skilled Worker
ISHA RETAILERS LIMITED,Gloucester,,Worker (A rating),Skilled Worker
J.J.T.N LTD T/A The Newsagent and Off Licence,Norwich,NORFOLK,Worker (A rating),Skilled Worker
JSK Fashions Limited,Manchester,,Worker (A rating),Skilled Worker
Kemin UK Limited,Southport,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Kemin UK Limited,Southport,,Worker (A rating),Skilled Worker
Kiox-TA Ltd,London,,Worker (A rating),Skilled Worker
Kontour Production Services Ltd,Pontefract,West Yorkshire,Temporary Worker (A rating),Creative Worker
Levantine (UK) Limited,Hayes,,Worker (A rating),Skilled Worker
London Fields Primary School,London,,Worker (A rating),Skilled Worker
London Speech and Language Therapy Services Ltd,London,,Worker (A rating),Skilled Worker
Mayah and Co Consulting Limited,Barking,Essex,Worker (A rating),Skilled Worker
More Than Equal Limited,London,,Worker (A rating),Skilled Worker
Mrs Kajitha Premananth TA Candyshell,Grays,Essex,Worker (A rating),Skilled Worker
N & J BARBERS LTD T/A N & J BARBERS,London,,Worker (A rating),Skilled Worker
NALINI FOOD PVT LIMITED t/a KK Food & Wine,Birmingham,,Worker (A rating),Skilled Worker
Premier Sophia Store,Swansea,,Worker (A rating),Skilled Worker
PRINTBERRY LTD,Leicester,,Worker (A rating),Skilled Worker
QUALITY CARE & RECRUITMENT SOLUTIONS LIMITED,Greenford,,Worker (A rating),Skilled Worker
RAINBOW POLYCARBONATE INDUSTRY TRADE LTD,London,,Worker (UK Expansion Worker: Provisional),Global Business Mobility: UK Expansion Worker
Rontec Watford Limited,Watford,Hertfordshire,Worker (A rating),Skilled Worker
SETEX GLOBAL SOURCING LTD,London,,Worker (A rating),Skilled Worker
Shayana Limited T/A Best One,Kent,,Worker (A rating),Skilled Worker
Southwell Dental Care,Nottingham,,Worker (A rating),Skilled Worker
STAYBILITY LIMITED,London,,Worker (A rating),Skilled Worker
Subrickzz Ltd,Milton Keynes,,Worker (A rating),Skilled Worker
The Equipping Center Global,London,,Worker (A rating),Tier 2 Ministers of Religion
The Halkin Partnership Ltd,London,London,Worker (A rating),Skilled Worker
The Health Lottery Limited,London,,Worker (A rating),Skilled Worker
ThingLink UK LTD,Invernessshire,,Worker (A rating),Skilled Worker
Tolsa UK Limited,Scunthorpe,,Worker (A rating),Skilled Worker
Trimdon Healthcare Limited T/A Melrosegate Pharmacy,York,,Worker (A rating),Skilled Worker
Tyrion Security Bidco Limited,Oldham,,Worker (A rating),Skilled Worker
UK Business College Ltd T/A UKBC (UK Business College),Leicester,,Worker (A rating),Skilled Worker
Weaver Labs Limited,London,,Worker (A rating),Skilled Worker
Wellington Computer Systems Ltd,Belfast,Antrim,Worker (A rating),Skilled Worker
XLN ACCOUNTANTS LTD,London,,Worker (A rating),Skilled Worker
