Organisation Name,Town/City,County,Type & Rating,Route
6SOFT LTD,Barking,,Worker (A rating),Skilled Worker
Aquevo Ltd,London,,Worker (A rating),Skilled Worker
Arbat Capital Advisory Services Ltd,London,,Worker (A rating),Skilled Worker
Archaeological Management Solutions Ltd (AMS),York,,Worker (A rating),Skilled Worker
Ashgrove Motor Body Co Ltd,Elgin,- select -,Worker (A rating),Skilled Worker
AUTO WEST LONDON LIMITED,London,,Worker (A rating),Skilled Worker
B McCaffrey & Sons Limited,Derrylin,Fermanagh,Worker (A rating),Skilled Worker
Beaulieu Dental,Chelmsford,Essex,Worker (A rating),Skilled Worker
Blutech Uki Ltd,London,,Worker (A rating),Skilled Worker
BOW ADMISSION SERVICE LTD,London,,Worker (A rating),Skilled Worker
BRIGHT COURTYARD LONDON LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
British Steel Limited,Scunthorpe,North Lincolnshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
British Steel Limited,Scunthorpe,North Lincolnshire,Worker (A rating),Skilled Worker
CGI AXIS LTD,London,,Worker (A rating),Skilled Worker
COSY SPOT LTD,Ruislip,,Worker (A rating),Skilled Worker
Endeavour R2 Ltd,Walthamstow,,Worker (A rating),Skilled Worker
Esco GB Limited,Barnsley,South Yorkshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
Esco GB Limited,Barnsley,South Yorkshire,Worker (A rating),Skilled Worker
Essar International Limited,Ashford,,Worker (A rating),Skilled Worker
FLEX FAST PHYSIO LIMITED,Birmingham,,Worker (A rating),Skilled Worker
Future Communications Company UK Pvt Ltd,Watford,,Worker (A rating),Skilled Worker
GLEN BUILDING SERVICES LTD T/A GBS SCAFFOLDING CONTRACTOR,Derry,NORTHERN IRELAND,Worker (A rating),Skilled Worker
Grace Church Dulwich,London,,Temporary Worker (A rating),Charity Worker
Great Wheatley Ltd,Rayleigh,,Worker (A rating),Skilled Worker
Haulfryn Limited,Maidenhead,,Worker (A rating),Skilled Worker
HODDESDON DENTAL SURGERY LTD,Hertfordshire,,Worker (A rating),Skilled Worker
HOSSAIN BROTHER LIMITED T/A AMEERAS KITCHEN,Bedford,,Worker (A rating),Skilled Worker
Howling Hops Tank Bar,London,,Worker (A rating),Skilled Worker
Indigo IT Ltd,Camberley,Surrey,Worker (A rating),Skilled Worker
Inovex Systems Limited,Kettering,Northants,Worker (A rating),Skilled Worker
Jades Chemist Limited T/A Jades Chemist,West Sussex,,Worker (A rating),Skilled Worker
JOHAL SUPERMARKET (UK) LTD,Birmingham,,Worker (A rating),Skilled Worker
Johnson Elborne UK Limited,London,,Worker (A rating),Skilled Worker
JVM Group Ltd T/A LaundryUP,Watford,,Worker (A rating),Skilled Worker
Kantar Media Audiences Limited,London,,Worker (A rating),Skilled Worker
Kinovo Group Plc,Waltham Abbey,Essex,Worker (A rating),Skilled Worker
KJ Tait Engineers Ltd,Glasgow,Glasgow,Worker (A rating),Skilled Worker
LOCI SPORTS LTD,London,,Worker (A rating),Skilled Worker
Maniere De Voir Ltd,Manchester,,Worker (A rating),Skilled Worker
MATRIX INT LTD,City Of London,,Worker (A rating),Skilled Worker
MBK Logistics Ltd,Gloucester,Gloucestershire,Worker (A rating),Skilled Worker
MIDAS (Euro) Limited,Bolton,,Worker (A rating),Skilled Worker
MOTHERWELL FUEL SERVICES LTD,Motherwell,,Worker (A rating),Skilled Worker
Mustang Hospitality Ltd T/A Kathmandu Restaurant and Bar,Solihull,West Midlands,Worker (A rating),Skilled Worker
Orbit Food Ltd,Wolverhampton,,Worker (A rating),Skilled Worker
outcome care and support limited,Wolverhampton,WOLVERHAMPTON,Worker (A rating),Skilled Worker
OXECO U.K. Limited,Yarnton,Oxfordshire,Worker (A rating),Skilled Worker
PDL Finance Limited,London,,Worker (A rating),Skilled Worker
PEARL CONVENIENCE STORE LIMITED,Newcastle Upon Tyne,TYNE AND WEAR,Worker (A rating),Skilled Worker
POD Europe Ltd,London,,Worker (A rating),Skilled Worker
PPA ENERGO S.R.O.,Hitchin,Hertfordshire,Worker (A rating),Global Business Mobility: Senior or Specialist Worker
PROFFER SOLUTION LTD,Oldbury,,Worker (A rating),Skilled Worker
QUICK STUDY LTD,Birmingham,,Worker (A rating),Skilled Worker
Rabtech Ltd,Billericay,,Worker (A rating),Skilled Worker
RBL Construction Ltd,Hertfordshire,,Worker (A rating),Skilled Worker
Reza solicitors Ltd,London,,Worker (A rating),Skilled Worker
RIYANA LTD,Aberdeen,,Worker (A rating),Skilled Worker
S V PHARMACIES LIMITED,South Woodford,,Worker (A rating),Skilled Worker
Scaleup Street Limited,High Wycombe,,Worker (A rating),Skilled Worker
SECEN LONDON LTD,London,,Worker (A rating),Skilled Worker
